site_id,t,day,hour,load_kwh,solar_kwh,net_load_kwh,grid_available,battery_capacity_kwh,dg_power_kw,grid_power_kw,battery_charge_coeff,battery_discharge_coeff,init_soc,dod,ghi,dhi,dni,clearsky_ghi,clearsky_dhi,clearsky_dni,solar_zenith_angle,relative_humidity
site4,0,1,0,8.39,0.0,8.39,False,41.04,17.6,14,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,132.12,63.65
site4,1,1,1,8.22,0.0,8.22,False,41.04,17.6,14,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,121.06,66.11
site4,2,1,2,8.23,0.0,8.23,False,41.04,17.6,14,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,116.77,71.73
site4,3,1,3,8.53,0.0,8.53,False,41.04,17.6,14,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,103.09,71.78
site4,4,1,4,8.66,0.0,8.66,False,41.04,17.6,14,0.35,1.2,0.2,0.15,33.1,23.92,167.72,32.68,24.25,163.48,89.33,67.55
site4,5,1,5,9.08,0.096,8.984,False,41.04,17.6,14,0.35,1.2,0.2,0.15,108.15,112.28,12.25,243.03,79.98,597.43,74.07,51.14
site4,6,1,6,7.55,0.624,6.926,False,41.04,17.6,14,0.35,1.2,0.2,0.15,277.77,241.24,79.27,473.15,101.22,744.35,60.57,42.5
site4,7,1,7,9.47,0.48,8.99,False,41.04,17.6,14,0.35,1.2,0.2,0.15,550.23,328.89,317.05,726.78,115.79,854.91,47.64,34.86
site4,8,1,8,9.5,0.624,8.876,False,41.04,17.6,14,0.35,1.2,0.2,0.15,495.45,384.71,108.0,919.32,121.92,907.67,32.32,30.56
site4,9,1,9,9.52,1.728,7.792,False,41.04,17.6,14,0.35,1.2,0.2,0.15,393.62,384.88,2.05,1032.59,132.35,936.12,21.68,27.72
site4,10,1,10,9.5,3.552,5.948,False,41.04,17.6,14,0.35,1.2,0.2,0.15,683.83,528.14,163.95,1009.51,133.98,970.82,17.75,24.9
site4,11,1,11,9.49,9.312,0.17800000000000082,False,41.04,17.6,14,0.35,1.2,0.2,0.15,760.75,438.5,327.39,992.34,126.65,923.32,22.4,25.3
site4,12,1,12,9.62,16.896,-7.276000000000002,False,41.04,17.6,14,0.35,1.2,0.2,0.15,668.32,468.7,201.98,852.88,118.44,916.89,32.72,23.59
site4,13,1,13,9.52,14.016,-4.496,False,41.04,17.6,14,0.35,1.2,0.2,0.15,393.03,359.75,67.65,678.6,108.93,854.18,47.36,23.49
site4,14,1,14,9.59,18.96,-9.370000000000001,False,41.04,17.6,14,0.35,1.2,0.2,0.15,497.43,100.2,733.39,493.78,101.0,780.17,58.28,24.98
