site_id,t,day,hour,load_kwh,solar_kwh,net_load_kwh,grid_available,battery_capacity_kwh,dg_power_kw,grid_power_kw,battery_charge_coeff,battery_discharge_coeff,init_soc,dod,ghi,dhi,dni,clearsky_ghi,clearsky_dhi,clearsky_dni,solar_zenith_angle,relative_humidity
site1,0,1,0,4.48,0.0,4.48,True,16.2,18.0,8,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,138.12,59.05
site1,1,1,1,4.3,0.0,4.3,True,16.2,18.0,8,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,125.23,62.04
site1,2,1,2,4.17,0.0,4.17,True,16.2,18.0,8,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,116.75,65.29
site1,3,1,3,4.15,0.0,4.15,True,16.2,18.0,8,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,97.86,63.05
site1,4,1,4,4.32,0.0,4.32,True,16.2,18.0,8,0.35,1.2,0.2,0.15,33.7,32.22,0.0,48.05,30.97,204.94,85.22,57.81
site1,5,1,5,4.41,0.24,4.17,True,16.2,18.0,8,0.35,1.2,0.2,0.15,135.23,136.88,5.11,270.87,84.11,575.39,72.65,47.83
site1,6,1,6,4.45,1.22,3.2300000000000004,True,16.2,18.0,8,0.35,1.2,0.2,0.15,307.76,279.5,41.33,519.68,115.61,751.71,59.41,36.99
site1,7,1,7,4.47,4.14,0.33000000000000007,True,16.2,18.0,8,0.35,1.2,0.2,0.15,525.67,434.51,164.39,733.84,132.24,855.5,43.31,32.99
site1,8,1,8,4.54,7.68,-3.1399999999999997,False,16.2,18.0,8,0.35,1.2,0.2,0.15,906.91,151.42,838.02,900.97,146.52,867.17,30.81,28.1
site1,9,1,9,4.63,10.18,-5.55,False,16.2,18.0,8,0.35,1.2,0.2,0.15,1041.3,137.94,914.59,974.32,142.87,917.78,18.25,26.87
site1,10,1,10,4.77,11.32,-6.550000000000001,False,16.2,18.0,8,0.35,1.2,0.2,0.15,1054.7,144.23,891.42,1054.14,145.69,933.96,14.16,25.95
site1,11,1,11,4.64,9.8,-5.160000000000001,False,16.2,18.0,8,0.35,1.2,0.2,0.15,620.99,494.17,134.53,993.29,146.67,874.39,20.89,26.76
site1,12,1,12,4.74,4.16,0.5800000000000001,False,16.2,18.0,8,0.35,1.2,0.2,0.15,521.0,434.12,84.82,878.66,135.37,844.49,33.88,27.75
site1,13,1,13,4.65,4.08,0.5700000000000003,False,16.2,18.0,8,0.35,1.2,0.2,0.15,674.57,126.76,806.46,694.62,130.71,813.78,47.5,29.6
site1,14,1,14,4.72,3.98,0.7399999999999998,False,16.2,18.0,8,0.35,1.2,0.2,0.15,354.61,218.44,256.22,431.75,110.99,703.17,61.08,31.88
site1,15,1,15,4.84,3.92,0.9199999999999999,False,16.2,18.0,8,0.35,1.2,0.2,0.15,35.65,35.81,0.0,198.72,72.51,507.96,77.61,37.27
site1,16,1,16,4.94,3.68,1.2600000000000002,True,16.2,18.0,8,0.35,1.2,0.2,0.15,10.97,10.05,44.97,11.18,10.02,43.54,89.99,41.13
site1,17,1,17,4.7,1.88,2.8200000000000003,True,16.2,18.0,8,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,106.73,44.06
site1,18,1,18,4.69,0.34,4.3500000000000005,True,16.2,18.0,8,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,119.56,45.77
site1,19,1,19,4.79,0.0,4.79,True,16.2,18.0,8,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,130.53,47.8
site1,20,1,20,5.07,0.0,5.07,True,16.2,18.0,8,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,139.51,50.89
site1,21,1,21,5.06,0.0,5.06,True,16.2,18.0,8,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,143.12,53.12
