site_id,t,day,hour,load_kwh,solar_kwh,net_load_kwh,grid_available,battery_capacity_kwh,dg_power_kw,grid_power_kw,battery_charge_coeff,battery_discharge_coeff,init_soc,dod,ghi,dhi,dni,clearsky_ghi,clearsky_dhi,clearsky_dni,solar_zenith_angle,relative_humidity
site5,0,1,0,8.3,0.0,8.3,True,20.52,17.6,12,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,139.9,57.42
site5,1,1,1,7.33,0.0,7.33,True,20.52,17.6,12,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,126.72,59.24
site5,2,1,2,4.47,0.0,4.47,True,20.52,17.6,12,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,112.34,61.97
site5,3,1,3,3.1,0.0,3.1,True,20.52,17.6,12,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,100.57,60.07
site5,4,1,4,6.74,0.144,6.596,True,20.52,17.6,12,0.35,1.2,0.2,0.15,12.53,13.32,0.0,24.81,17.82,143.97,89.49,56.7
site5,5,1,5,8.15,0.552,7.598000000000001,False,20.52,17.6,12,0.35,1.2,0.2,0.15,5.18,5.07,0.0,232.35,67.75,601.98,72.03,47.21
site5,6,1,6,8.49,1.752,6.738,False,20.52,17.6,12,0.35,1.2,0.2,0.15,280.39,225.37,79.05,494.46,94.41,804.71,61.34,36.71
site5,7,1,7,8.51,4.68,3.83,False,20.52,17.6,12,0.35,1.2,0.2,0.15,249.36,248.06,0.98,702.28,108.63,852.77,48.43,34.0
site5,8,1,8,8.62,7.872,0.7479999999999993,False,20.52,17.6,12,0.35,1.2,0.2,0.15,322.74,325.1,2.05,897.33,115.64,888.78,33.44,31.11
site5,9,1,9,8.65,8.664,-0.013999999999999346,False,20.52,17.6,12,0.35,1.2,0.2,0.15,746.77,547.6,273.15,1003.84,117.98,975.85,22.22,27.42
site5,10,1,10,8.83,7.704,1.1260000000000003,False,20.52,17.6,12,0.35,1.2,0.2,0.15,901.8,478.69,452.19,1032.64,117.53,951.64,17.4,26.04
site5,11,1,11,8.9,9.0,-0.09999999999999964,False,20.52,17.6,12,0.35,1.2,0.2,0.15,467.51,458.03,16.22,1040.72,118.55,971.98,22.52,24.96
site5,12,1,12,9.0,11.568,-2.5679999999999996,False,20.52,17.6,12,0.35,1.2,0.2,0.15,575.36,462.31,125.23,882.94,112.52,961.66,31.77,25.95
site5,13,1,13,8.9,10.56,-1.6600000000000001,False,20.52,17.6,12,0.35,1.2,0.2,0.15,534.35,413.24,188.73,730.8,107.15,869.04,43.95,25.15
site5,14,1,14,8.87,4.968,3.9019999999999992,False,20.52,17.6,12,0.35,1.2,0.2,0.15,373.27,304.91,145.11,521.96,90.48,795.82,58.38,26.25
site5,15,1,15,8.92,5.184,3.7359999999999998,False,20.52,17.6,12,0.35,1.2,0.2,0.15,253.47,67.33,628.84,256.49,68.03,646.27,72.27,28.6
