site_id,t,day,hour,load_kwh,solar_kwh,net_load_kwh,grid_available,battery_capacity_kwh,dg_power_kw,grid_power_kw,battery_charge_coeff,battery_discharge_coeff,init_soc,dod,ghi,dhi,dni,clearsky_ghi,clearsky_dhi,clearsky_dni,solar_zenith_angle,relative_humidity
site8,0,1,0,1.46,0.0,1.46,True,21.6,10.8,12,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,141.91,51.79
site8,1,1,1,1.48,0.0,1.48,True,21.6,10.8,12,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,128.24,54.87
site8,2,1,2,1.37,0.0,1.37,True,21.6,10.8,12,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,121.2,56.21
site8,3,1,3,1.58,0.0,1.58,True,21.6,10.8,12,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,102.42,57.7
site8,4,1,4,1.68,0.0,1.68,True,21.6,10.8,12,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,89.53,53.45
site8,5,1,5,1.76,0.21,1.55,True,21.6,10.8,12,0.35,1.2,0.2,0.15,8.05,7.72,0.0,194.01,82.34,464.12,77.41,44.66
site8,6,1,6,1.8,0.63,1.17,True,21.6,10.8,12,0.35,1.2,0.2,0.15,259.36,248.21,34.09,438.17,117.78,690.95,61.75,35.45
site8,7,1,7,1.81,2.31,-0.5,True,21.6,10.8,12,0.35,1.2,0.2,0.15,688.96,132.78,808.42,655.69,130.1,782.56,45.89,32.21
site8,8,1,8,1.93,4.95,-3.0200000000000005,True,21.6,10.8,12,0.35,1.2,0.2,0.15,893.14,149.79,887.72,857.75,150.82,844.26,32.31,28.12
site8,9,1,9,1.97,8.22,-6.250000000000001,True,21.6,10.8,12,0.35,1.2,0.2,0.15,1011.37,166.52,895.12,944.97,167.24,872.34,20.56,27.62
site8,10,1,10,2.09,13.14,-11.05,True,21.6,10.8,12,0.35,1.2,0.2,0.15,1038.39,172.04,906.03,1036.39,173.72,872.6,12.2,27.4
site8,11,1,11,2.12,10.47,-8.350000000000001,True,21.6,10.8,12,0.35,1.2,0.2,0.15,577.67,489.65,65.62,969.84,174.41,832.18,17.84,25.38
site8,12,1,12,2.11,6.9,-4.790000000000001,True,21.6,10.8,12,0.35,1.2,0.2,0.15,606.51,490.72,139.6,865.72,186.26,824.75,29.0,25.43
site8,13,1,13,2.13,5.25,-3.12,True,21.6,10.8,12,0.35,1.2,0.2,0.15,743.67,166.21,770.46,700.52,170.68,752.95,44.26,28.21
site8,14,1,14,2.11,3.12,-1.0100000000000002,True,21.6,10.8,12,0.35,1.2,0.2,0.15,12.1,11.67,0.0,485.22,140.16,655.56,55.02,28.36
site8,15,1,15,2.15,3.93,-1.7800000000000002,True,21.6,10.8,12,0.35,1.2,0.2,0.15,5.06,5.12,0.0,252.82,96.61,523.77,70.21,32.94
site8,16,1,16,2.15,0.84,1.31,True,21.6,10.8,12,0.35,1.2,0.2,0.15,11.34,10.74,0.0,42.93,32.19,144.2,85.59,35.93
site8,17,1,17,2.08,0.96,1.12,True,21.6,10.8,12,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,97.27,39.68
site8,18,1,18,1.99,0.33,1.66,False,21.6,10.8,12,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,111.28,41.19
site8,19,1,19,1.96,0.0,1.96,False,21.6,10.8,12,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,122.84,42.0
site8,20,1,20,1.92,0.0,1.92,False,21.6,10.8,12,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,140.44,43.91
site8,21,1,21,1.85,0.0,1.85,False,21.6,10.8,12,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,153.44,47.41
site8,22,1,22,1.76,0.0,1.76,False,21.6,10.8,12,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,147.73,49.44
site8,23,1,23,1.74,0.0,1.74,False,21.6,10.8,12,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,147.64,51.13
site8,24,2,0,1.58,0.0,1.58,False,21.6,10.8,12,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,139.22,55.94
site8,25,2,1,1.55,0.0,1.55,False,21.6,10.8,12,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,132.69,57.57
site8,26,2,2,1.53,0.0,1.53,False,21.6,10.8,12,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,119.92,62.45
site8,27,2,3,1.72,0.0,1.72,False,21.6,10.8,12,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,106.02,63.21
site8,28,2,4,1.66,0.0,1.66,False,21.6,10.8,12,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,92.58,62.1
site8,29,2,5,1.76,0.03,1.73,False,21.6,10.8,12,0.35,1.2,0.2,0.15,68.44,67.97,0.0,180.47,87.91,395.15,73.47,57.75
site8,30,2,6,1.76,0.15,1.61,False,21.6,10.8,12,0.35,1.2,0.2,0.15,331.87,250.48,156.23,413.54,136.94,618.63,61.62,44.85
site8,31,2,7,1.81,0.81,1.0,False,21.6,10.8,12,0.35,1.2,0.2,0.15,317.54,311.68,16.07,672.08,158.63,745.34,47.94,40.92
site8,32,2,8,1.97,1.5,0.47,False,21.6,10.8,12,0.35,1.2,0.2,0.15,601.02,475.7,163.88,853.67,180.34,801.32,34.79,38.29
