site_id,t,day,hour,load_kwh,solar_kwh,net_load_kwh,grid_available,battery_capacity_kwh,dg_power_kw,grid_power_kw,battery_charge_coeff,battery_discharge_coeff,init_soc,dod,ghi,dhi,dni,clearsky_ghi,clearsky_dhi,clearsky_dni,solar_zenith_angle,relative_humidity
site7,0,1,0,4.21,0.0,4.21,True,20.52,18.0,8,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,138.2,50.85
site7,1,1,1,4.03,0.0,4.03,True,20.52,18.0,8,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,133.16,56.43
site7,2,1,2,4.01,0.0,4.01,True,20.52,18.0,8,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,116.84,56.93
site7,3,1,3,4.02,0.0,4.02,True,20.52,18.0,8,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,100.35,60.09
site7,4,1,4,4.23,0.0,4.23,True,20.52,18.0,8,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,86.36,53.31
site7,5,1,5,4.24,0.14,4.1000000000000005,True,20.52,18.0,8,0.35,1.2,0.2,0.15,7.93,8.05,0.0,191.83,83.01,455.47,74.65,43.75
site7,6,1,6,4.33,0.42,3.91,True,20.52,18.0,8,0.35,1.2,0.2,0.15,267.78,252.52,32.08,428.08,114.53,699.02,61.2,36.32
site7,7,1,7,4.3,1.54,2.76,True,20.52,18.0,8,0.35,1.2,0.2,0.15,695.75,132.27,784.61,657.76,131.87,768.91,46.28,30.24
site7,8,1,8,4.44,3.3,1.1400000000000006,True,20.52,18.0,8,0.35,1.2,0.2,0.15,879.7,152.46,835.22,873.57,152.74,834.55,33.02,30.15
site7,9,1,9,4.44,5.48,-1.04,True,20.52,18.0,8,0.35,1.2,0.2,0.15,979.1,174.92,890.54,978.99,164.02,862.79,21.13,28.6
site7,10,1,10,4.44,8.76,-4.319999999999999,True,20.52,18.0,8,0.35,1.2,0.2,0.15,995.89,178.76,880.61,1022.84,180.93,904.46,12.74,26.68
site7,11,1,11,4.44,6.98,-2.54,True,20.52,18.0,8,0.35,1.2,0.2,0.15,566.51,498.16,65.2,1029.67,176.88,883.37,18.16,25.26
site7,12,1,12,4.43,4.6,-0.16999999999999993,True,20.52,18.0,8,0.35,1.2,0.2,0.15,630.91,515.7,139.75,921.46,177.03,800.02,29.91,25.67
site7,13,1,13,4.45,3.5,0.9500000000000002,True,20.52,18.0,8,0.35,1.2,0.2,0.15,740.54,167.42,751.39,701.94,169.84,783.72,43.83,26.61
site7,14,1,14,4.45,2.08,2.37,True,20.52,18.0,8,0.35,1.2,0.2,0.15,11.99,11.8,0.0,515.01,142.77,695.2,56.26,28.66
site7,15,1,15,4.44,2.62,1.8200000000000003,True,20.52,18.0,8,0.35,1.2,0.2,0.15,5.15,4.89,0.0,258.84,96.8,526.05,71.21,32.77
site7,16,1,16,4.45,0.56,3.89,True,20.52,18.0,8,0.35,1.2,0.2,0.15,11.4,10.75,0.0,44.26,31.99,146.18,86.1,36.01
site7,17,1,17,4.45,0.64,3.81,True,20.52,18.0,8,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,96.94,38.12
site7,18,1,18,4.45,0.22,4.23,False,20.52,18.0,8,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,111.58,41.56
site7,19,1,19,4.44,0.0,4.44,False,20.52,18.0,8,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,129.15,44.74
site7,20,1,20,4.47,0.0,4.47,False,20.52,18.0,8,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,141.36,43.87
site7,21,1,21,4.5,0.0,4.5,False,20.52,18.0,8,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,144.69,48.32
