site_id,t,day,hour,load_kwh,solar_kwh,net_load_kwh,grid_available,battery_capacity_kwh,dg_power_kw,grid_power_kw,battery_charge_coeff,battery_discharge_coeff,init_soc,dod,ghi,dhi,dni,clearsky_ghi,clearsky_dhi,clearsky_dni,solar_zenith_angle,relative_humidity
site2,0,1,0,8.58,0.0,8.58,True,41.04,17.6,14,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,141.7,61.16
site2,1,1,1,8.51,0.0,8.51,True,41.04,17.6,14,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,129.03,63.5
site2,2,1,2,8.53,0.0,8.53,True,41.04,17.6,14,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,114.45,62.18
site2,3,1,3,8.54,0.0,8.54,True,41.04,17.6,14,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,96.94,66.29
site2,4,1,4,8.87,0.0,8.87,True,41.04,17.6,14,0.35,1.2,0.2,0.15,31.84,31.94,0.0,45.69,28.9,207.12,84.8,55.68
site2,5,1,5,9.39,0.288,9.102,True,41.04,17.6,14,0.35,1.2,0.2,0.15,138.92,137.59,4.81,266.21,85.09,575.13,70.44,45.45
site2,6,1,6,9.33,1.464,7.866,True,41.04,17.6,14,0.35,1.2,0.2,0.15,291.64,275.97,39.39,505.48,113.71,722.53,59.59,35.52
site2,7,1,7,9.42,4.968,4.452,True,41.04,17.6,14,0.35,1.2,0.2,0.15,529.99,411.38,162.32,707.48,130.35,834.51,42.89,31.58
site2,8,1,8,9.72,9.216,0.5040000000000013,True,41.04,17.6,14,0.35,1.2,0.2,0.15,905.71,157.82,871.28,877.72,150.74,893.11,31.39,29.18
site2,9,1,9,9.75,12.216,-2.4659999999999993,True,41.04,17.6,14,0.35,1.2,0.2,0.15,1000.2,142.91,922.66,1011.27,143.75,916.85,18.54,27.69
site2,10,1,10,9.86,13.584,-3.724,True,41.04,17.6,14,0.35,1.2,0.2,0.15,1004.35,142.2,921.64,993.48,147.07,886.18,14.01,26.82
site2,11,1,11,9.86,11.76,-1.9000000000000004,True,41.04,17.6,14,0.35,1.2,0.2,0.15,584.29,469.15,133.94,999.29,147.86,890.98,21.93,27.39
site2,12,1,12,9.79,4.992,4.797999999999999,True,41.04,17.6,14,0.35,1.2,0.2,0.15,494.16,457.72,79.94,845.77,146.33,864.57,33.73,27.56
site2,13,1,13,10.11,4.896,5.2139999999999995,True,41.04,17.6,14,0.35,1.2,0.2,0.15,702.88,132.78,812.84,669.29,127.79,789.3,48.35,28.75
site2,14,1,14,10.17,4.776,5.394,True,41.04,17.6,14,0.35,1.2,0.2,0.15,352.74,225.45,257.38,431.2,111.38,698.57,60.12,30.39
site2,15,1,15,10.18,4.704,5.476,True,41.04,17.6,14,0.35,1.2,0.2,0.15,36.62,37.22,0.0,208.4,76.28,502.95,77.03,35.79
site2,16,1,16,10.35,4.416,5.933999999999999,True,41.04,17.6,14,0.35,1.2,0.2,0.15,10.72,10.33,43.92,10.88,10.25,44.46,91.62,43.24
site2,17,1,17,10.15,2.256,7.894,True,41.04,17.6,14,0.35,1.2,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,98.86,44.81
